"Standard
Class ID"	"Standard
Instance ID"	"Standard
Member ID"	Parameter ID	Instance	"Class
Name"	Base or Module #	"Parameter Name
Member Name"	Description	"Selectable Range or
Enumerations via Comms ( )"	Default from Factory	Data Type	"Read
Write
EEPROM
User Set Save"	Relative Address	Absolute Address	Offset to next inst.	"Modbus
Registers
Range"	Max Instance														
1	2	9	1009	2	DEV	1	Diagnostic - Slot 1 Card Model Number (Digit 13 for Modbus protocol)	Monitor the model number of the card.	"A to Z, 0 to 9 (Unicode character)"	no default	Short String	R	160	" 400,161 "	120	0 to 838	7														
1	2	9	1009	2	DEV	1	Diagnostic - Slot 1 Card Model Number (Digit 14 for Modbus protocol)	Monitor the model number of the card.	"A to Z, 0 to 9 (Unicode character)"	no default	Short String	R	162	" 400,163 "	120	0 to 838	7														
1	2	9	1009	2	DEV	1	Diagnostic - Slot 1 Card Model Number (Digit 15 for Modbus protocol)	Monitor the model number of the card.	"A to Z, 0 to 9 (Unicode character)"	no default	Short String	R	164	" 400,165 "	120	0 to 838	7														
1	2	11	1011	2	DEV	1	Diagnostic - Device Name (Character 1 for Modbus protocol)	Program the name to assign the card.	Any Unicode character (0 to 65535)	no default	Short String	RWES	166	" 400,167 "	120	0 to 838	7														
1	2	11	1011	2	DEV	1	Diagnostic - Device Name (Character 2 for Modbus protocol)	Program the name to assign the card.	Any Unicode character (0 to 65535)	no default	Short String	RWES	168	" 400,169 "	120	0 to 838	7														
1	2	11	1011	2	DEV	1	Diagnostic - Device Name (Character 3 for Modbus protocol)	Program the name to assign the card.	Any Unicode character (0 to 65535)	no default	Short String	RWES	170	" 400,171 "	120	0 to 838	7														
1	2	11	1011	2	DEV	1	Diagnostic - Device Name (Character 4 for Modbus protocol)	Program the name to assign the card.	Any Unicode character (0 to 65535)	no default	Short String	RWES	172	" 400,173 "	120	0 to 838	7														
1	2	11	1011	2	DEV	1	Diagnostic - Device Name (Character 5 for Modbus protocol)	Program the name to assign the card.	Any Unicode character (0 to 65535)	no default	Short String	RWES	174	" 400,175 "	120	0 to 838	7														
1	2	11	1011	2	DEV	1	Diagnostic - Device Name (Character 6 for Modbus protocol)	Program the name to assign the card.	Any Unicode character (0 to 65535)	no default	Short String	RWES	176	" 400,177 "	120	0 to 838	7														
1	2	11	1011	2	DEV	1	Diagnostic - Device Name (Character 7 for Modbus protocol)	Program the name to assign the card.	Any Unicode character (0 to 65535)	no default	Short String	RWES	178	" 400,179 "	120	0 to 838	7														
1	2	11	1011	2	DEV	1	Diagnostic - Device Name (Character 8 for Modbus protocol)	Program the name to assign the card.	Any Unicode character (0 to 65535)	no default	Short String	RWES	180	" 400,181 "	120	0 to 838	7														
1	2	11	1011	2	DEV	1	Diagnostic - Device Name (Character 9 for Modbus protocol)	Program the name to assign the card.	Any Unicode character (0 to 65535)	no default	Short String	RWES	182	" 400,183 "	120	0 to 838	7														
1	2	11	1011	2	DEV	1	Diagnostic - Device Name (Character 10 for Modbus protocol)	Program the name to assign the card.	Any Unicode character (0 to 65535)	no default	Short String	RWES	184	" 400,185 "	120	0 to 838	7														
1	2	11	1011	2	DEV	1	Diagnostic - Device Name (Character 11 for Modbus protocol)	Program the name to assign the card.	Any Unicode character (0 to 65535)	no default	Short String	RWES	186	" 400,187 "	120	0 to 838	7														
